,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
26,55.0,31.0,45.0,34.0,46.0,40.0,39.0,42.0,43.0,56.0,40.0,32.0,53.0,21.0,24.0,51.0,57.0,45.0,28.0,52.0,50.0,57.0,35.0,52.0,43.0,50.0,50.0,47.0,54.0,42.0,49.0,34.0,67.0,,51.0,42.0,48.0,42.0,44.0,52.0,42.0,60.0,32.0,33.0,42.0,75.0,49.0,42.0
27,42.0,40.0,47.0,44.0,48.0,32.0,39.0,47.0,39.0,60.0,44.0,26.0,49.0,47.0,47.0,45.0,49.0,25.0,34.0,35.0,38.0,32.0,40.0,34.0,40.0,38.0,37.0,39.0,36.0,30.0,43.0,29.0,76.0,38.0,26.0,,38.0,46.0,36.0,33.0,36.0,32.0,43.0,34.0,,66.0,36.0,41.0
28,56.0,31.0,38.0,30.0,49.0,57.0,47.0,41.0,49.0,64.0,54.0,42.0,48.0,37.0,37.0,44.0,43.0,,44.0,41.0,39.0,40.0,42.0,57.0,38.0,41.0,27.0,52.0,39.0,39.0,40.0,24.0,59.0,29.0,46.0,30.0,29.0,36.0,43.0,54.0,34.0,50.0,42.0,32.0,,60.0,44.0,48.0
29,32.0,48.0,47.0,43.0,29.0,38.0,35.0,58.0,8.0,76.0,44.0,39.0,54.0,38.0,47.0,48.0,42.0,38.0,45.0,25.0,38.0,50.0,44.0,41.0,39.0,28.0,44.0,39.0,47.0,20.0,52.0,25.0,9.0,43.0,39.0,30.0,34.0,33.0,41.0,38.0,37.0,45.0,44.0,46.0,45.0,65.0,44.0,41.0
30,60.0,38.0,,33.0,46.0,43.0,29.0,,49.0,63.0,,33.0,63.0,37.0,42.0,58.0,,64.0,29.0,,56.0,29.0,50.0,51.0,44.0,47.0,49.0,60.0,,,30.0,42.0,46.0,,45.0,64.0,30.0,43.0,,53.0,,44.0,42.0,45.0,,74.0,,56.0
31,57.0,46.0,48.0,,,,48.0,52.0,34.0,62.0,,38.0,41.0,30.0,37.0,51.0,54.0,41.0,44.0,,,53.0,,41.0,47.0,45.0,46.0,25.0,,,74.0,40.0,67.0,48.0,,,44.0,46.0,35.0,60.0,40.0,,47.0,30.0,62.0,67.0,45.0,28.0
32,49.0,41.0,57.0,30.0,55.0,41.0,37.0,,52.0,52.0,49.0,39.0,,38.0,15.0,52.0,36.0,39.0,53.0,28.0,35.0,56.0,40.0,45.0,23.0,34.0,37.0,52.0,52.0,47.0,48.0,37.0,63.0,41.0,48.0,17.0,39.0,39.0,52.0,56.0,41.0,,40.0,51.0,49.0,64.0,53.0,35.0
33,59.0,55.0,44.0,38.0,54.0,44.0,23.0,46.0,54.0,62.0,52.0,43.0,48.0,50.0,51.0,48.0,53.0,36.0,50.0,42.0,39.0,,50.0,71.0,53.0,37.0,53.0,35.0,33.0,54.0,45.0,35.0,54.0,63.0,41.0,49.0,45.0,43.0,40.0,40.0,39.0,,34.0,47.0,47.0,56.0,45.0,48.0
34,42.0,37.0,46.0,28.0,54.0,48.0,26.0,49.0,45.0,50.0,36.0,30.0,33.0,36.0,33.0,43.0,38.0,40.0,40.0,41.0,33.0,40.0,31.0,49.0,42.0,21.0,44.0,29.0,18.0,37.0,60.0,41.0,62.0,48.0,22.0,48.0,47.0,49.0,18.0,46.0,34.0,40.0,62.0,31.0,49.0,50.0,38.0,52.0
35,46.0,28.0,49.0,41.0,,59.0,45.0,31.0,,45.0,49.0,53.0,45.0,54.0,54.0,,46.0,41.0,51.0,36.0,39.0,59.0,35.0,43.0,48.0,39.0,50.0,33.0,47.0,50.0,58.0,43.0,75.0,51.0,39.0,,36.0,26.0,40.0,44.0,32.0,44.0,43.0,45.0,35.0,61.0,,44.0
