,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
26,47.0,49.0,50.0,54.0,47.0,52.0,23.0,43.0,33.0,47.0,30.0,24.0,36.0,46.0,37.0,29.0,45.0,49.0,44.0,39.0,51.0,40.0,36.0,40.0,52.0,37.0,44.0,47.0,40.0,50.0,38.0,39.0,37.0,32.0,,36.0,44.0,,44.0,42.0,46.0,47.0,39.0,46.0,38.0,22.0,44.0,59.0
27,42.0,36.0,45.0,34.0,42.0,39.0,13.0,46.0,45.0,53.0,47.0,30.0,34.0,60.0,34.0,25.0,46.0,43.0,37.0,33.0,54.0,41.0,39.0,31.0,43.0,43.0,40.0,36.0,34.0,45.0,46.0,58.0,39.0,45.0,47.0,47.0,30.0,36.0,47.0,36.0,35.0,56.0,42.0,58.0,35.0,26.0,40.0,52.0
28,37.0,42.0,48.0,44.0,43.0,38.0,52.0,38.0,41.0,39.0,46.0,30.0,15.0,27.0,32.0,33.0,45.0,38.0,40.0,58.0,32.0,60.0,41.0,44.0,30.0,39.0,44.0,57.0,44.0,44.0,34.0,43.0,48.0,58.0,45.0,43.0,28.0,48.0,48.0,40.0,53.0,55.0,44.0,40.0,53.0,46.0,36.0,52.0
29,28.0,40.0,57.0,28.0,39.0,40.0,47.0,41.0,37.0,48.0,32.0,42.0,36.0,41.0,31.0,49.0,35.0,39.0,35.0,39.0,22.0,41.0,44.0,39.0,43.0,32.0,41.0,49.0,41.0,37.0,33.0,40.0,29.0,51.0,49.0,,33.0,29.0,48.0,46.0,23.0,37.0,42.0,51.0,44.0,46.0,43.0,41.0
30,39.0,,49.0,,49.0,39.0,27.0,50.0,57.0,59.0,43.0,37.0,24.0,49.0,42.0,,21.0,43.0,32.0,44.0,34.0,63.0,42.0,50.0,45.0,51.0,,42.0,15.0,58.0,,,,32.0,,56.0,48.0,49.0,35.0,54.0,50.0,63.0,,50.0,,48.0,,
31,39.0,46.0,61.0,53.0,,54.0,47.0,46.0,,49.0,,60.0,55.0,,36.0,48.0,42.0,,62.0,17.0,55.0,64.0,51.0,40.0,60.0,25.0,,39.0,,53.0,,36.0,58.0,58.0,51.0,,40.0,38.0,,45.0,52.0,54.0,45.0,,25.0,,,
32,31.0,66.0,65.0,4.0,50.0,56.0,42.0,32.0,50.0,45.0,35.0,38.0,53.0,58.0,46.0,48.0,14.0,41.0,52.0,34.0,38.0,47.0,39.0,15.0,41.0,45.0,50.0,50.0,38.0,43.0,35.0,39.0,52.0,52.0,43.0,48.0,23.0,45.0,45.0,38.0,45.0,31.0,50.0,58.0,46.0,59.0,53.0,48.0
33,58.0,45.0,56.0,38.0,52.0,28.0,46.0,41.0,39.0,55.0,45.0,40.0,43.0,41.0,34.0,37.0,22.0,44.0,38.0,40.0,29.0,35.0,39.0,38.0,49.0,35.0,41.0,44.0,36.0,48.0,15.0,41.0,47.0,46.0,44.0,50.0,46.0,31.0,38.0,25.0,41.0,67.0,47.0,45.0,40.0,45.0,44.0,42.0
34,42.0,,48.0,42.0,38.0,36.0,40.0,27.0,30.0,51.0,28.0,36.0,47.0,60.0,47.0,35.0,40.0,32.0,46.0,36.0,40.0,58.0,45.0,38.0,46.0,38.0,42.0,40.0,33.0,43.0,43.0,27.0,50.0,37.0,32.0,44.0,36.0,43.0,40.0,33.0,41.0,49.0,44.0,45.0,42.0,56.0,39.0,42.0
35,43.0,50.0,59.0,38.0,36.0,52.0,35.0,42.0,52.0,54.0,33.0,51.0,23.0,33.0,,38.0,50.0,42.0,45.0,54.0,50.0,45.0,,28.0,44.0,43.0,32.0,54.0,46.0,50.0,39.0,54.0,32.0,35.0,42.0,52.0,37.0,42.0,75.0,39.0,48.0,52.0,21.0,28.0,43.0,43.0,49.0,50.0
